"source_address","destination_address","temperature","weather","food","clothes","transportation",imglink
"Andheri, Mumbai","Juhu Beach","(typically 25-35°C)","Coastal climate","Beachside stalls, restaurants","Casual beachwear","Auto-rickshaws, cabs","https://images.unsplash.com/photo-1516708941536-69c4c0517850?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D"
"Andheri, Mumbai","Versova Beach","(typically 25-35°C)","Coastal climate","Local beachside stalls","Casual beachwear","Auto-rickshaws, cabs","https://www.mumbaimetrotimes.com/wp-content/uploads/2023/02/IMG_20230203_175530-scaled.jpg "
"Andheri, Mumbai","Powai Lake","(typically 25-35°C)","Scenic lake","Local eateries","Casual wear","Local buses, cabs","https://www.istockphoto.com/photo/powai-lake-at-early-morning-gm533151975-56170320?phrase=powai%20lake"
"Andheri, Mumbai","Infiniti Mall, Andheri","(typically 25-35°C)","Shopping mall","Food court","Casual wear","Auto-rickshaws, cabs","https://www.istockphoto.com/photo/scenic-landscape-of-kasauli-gilbert-trail-also-known-as-sunset-point-gm1549886469-526326561?phrase=Gilbert%20hill"
"Andheri, Mumbai","Chhota Kashmir","(typically 25-35°C)","Garden and lake","Snack stalls","Casual wear","Local buses, cabs","https://www.townmumbai.com/wp-content/uploads/2017/06/chhota-kashmir.jpg"
"Andheri, Mumbai","Mahakali Caves","(typically 25-35°C)","Ancient Buddhist caves","Local snacks","Comfortable walking attire","Auto-rickshaws, cabs","https://www.istockphoto.com/photo/mahakali-caves-gm1402394181-455309753?phrase=Mahakali%20caves"
"Andheri, Mumbai","Versova, Andheri","(typically 25-35°C)","Coastal village setting","Local cafes and restaurants","Casual wear","Auto-rickshaws, cabs","https://www.istockphoto.com/photo/sarchittu-gm1277975796-377038566?phrase=Versova%20andheri%20coastal%20village"
"Andheri, Mumbai","MCA Cricket Club, Andheri","(typically 25-35°C)","Cricket stadium","Stadium food","Casual wear","Auto-rickshaws, cabs","https://www.istockphoto.com/photo/scenery-with-blue-sky-and-white-clouds-gm641828424-117400125?phrase=MCA%20cricket%20club%20andheri"
"Andheri, Mumbai","Kanheri Caves","(typically 25-35°C)","Ancient Buddhist caves","Local snacks","Comfortable walking attire","Local buses, cabs","https://www.istockphoto.com/photo/panorama-of-the-ajanta-caves-unesco-world-heritage-site-in-maharashtra-india-gm935484846-255983361?phrase=Kanheri%20caves%20andheri%20"
"Andheri, Mumbai","Jogeshwari Caves","(typically 25-35°C)","Historical caves","Local snacks","Comfortable walking attire","Local buses, cabs","https://www.istockphoto.com/photo/ancient-carving-wall-from-1500-years-old-buddhist-jogeshwari-caves-maharashtra-gm1334957474-416881595?phrase=jogeshwari%20caves%20mumbai"
"Andheri, Mumbai","Andheri Sports Complex","(typically 25-35°C)","Sports complex","Local eateries","Sportswear","Auto-rickshaws, cabs","https://www.istockphoto.com/photo/buildings-on-the-golf-course-gm475982893-26214933?phrase=Andheri%20sports%20complex%20"
"Andheri, Mumbai","Mindspace Garden, Andheri East","(typically 25-35°C)","Corporate park garden","No food available on-site","Casual wear","Auto-rickshaws, cabs","https://www.istockphoto.com/photo/roket-garden-kennedy-space-center-gm118879512-11928138?phrase=Andheri%20mind%20space%20garden"
"Andheri, Mumbai","Snow World, Andheri","(typically 25-35°C)","Indoor snow theme park","Cafeteria inside","Winter clothing provided","Auto-rickshaws, cabs","https://www.istockphoto.com/photo/amazing-snowfall-landscape-view-with-beautiful-mountains-and-hills-gm1137727337-303492680?phrase=Andheri%20snow%20world%20"
"Andheri, Mumbai","R City Mall, Ghatkopar","(typically 25-35°C)","Shopping mall","Food court","Casual wear","Metro, local buses, cabs","https://www.istockphoto.com/photo/trade-centre-interior-gm92400149-4059624?phrase=R%20City%20Mall%20Andheri%20"
