"source_address","destination_address","temperature","weather","food","clothes","transportation",imglink

"Byculla, Mumbai","Byculla Zoo","Varies (typically 25-35°C)","Zoological park","Snack stands inside the zoo","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/rtQzbnLc7rLzh7qj7"

"Byculla, Mumbai","Bhau Daji Lad Museum","Varies (typically 25-35°C)","Museum","No food on-site","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/2SL5KC6jKu5igbrJ8"

"Byculla, Mumbai","Veermata Jijabai Technological Institute (VJTI)","Varies (typically 25-35°C)","Educational institution","Cafeteria on-site","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/x3VhEQyt3Pq1b3rE7"

"Byculla, Mumbai","St. Agnes Church","Varies (typically 25-35°C)","Christian church","Local eateries nearby","Modest attire","Local buses, trains, cabs","https://images.app.goo.gl/feGYCPsUnxcWw4VT9"

"Byculla, Mumbai","Jijamata Udyaan","Varies (typically 25-35°C)","Garden and zoo","Snack stands inside the garden","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/Gvx3vd1n3DYAiF8o9"

"Byculla, Mumbai","St. Anne's Church","Varies (typically 25-35°C)","Christian church","Local eateries nearby","Modest attire","Local buses, trains, cabs","https://images.app.goo.gl/AjZZP6VBoek9xqD98"

"Byculla, Mumbai","Dockyard Road Railway Station","Varies (typically 25-35°C)","Railway station","Local eateries nearby","Casual wear","Local trains, buses, cabs","https://images.app.goo.gl/G55nJz13LG9QGDxh7"

"Byculla, Mumbai","Mazgaon Dock Limited","Varies (typically 25-35°C)","Shipbuilding company","No food on-site","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/NMbvqKthgjdyQC4d9"

"Byculla, Mumbai","Masina Hospital","Varies (typically 25-35°C)","Hospital","Cafeteria inside","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/fdpqrEUJAPJiswFQ8"

"Byculla, Mumbai","Magazine Street Kitchen","Varies (typically 25-35°C)","Culinary studio","Cafeteria inside","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/Uz4r3thEnLxMfp7y6"

"Byculla, Mumbai","Khada Parsi Statue","Varies (typically 25-35°C)","Historical statue","No food available on-site","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/DrYstJPZwLm8F8R38"

"Byculla, Mumbai","Magazine Street Social","Varies (typically 25-35°C)","Café and bar","Social bites","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/3DxbkEfdZsAZZhdy8"

"Byculla, Mumbai","Temple Of Eden","Varies (typically 25-35°C)","Event space","Cafeteria inside","Casual wear","Local buses, trains, cabs"

"Byculla, Mumbai","Bharat Mata Theatre","Varies (typically 25-35°C)","Movie theater","Snacks available inside","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/R3q295QVZBwt988Q9"

"Byculla, Mumbai","Lalbaugcha Raja Sarvajanik Ganeshotsav Mandal","Varies (typically 25-35°C)","Ganesh festival pandal","Local snack vendors","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/GPTEnsd1oqCd8krw5"

"Byculla, Mumbai","Dr. Bhau Daji Lad Museum Gardens","Varies (typically 25-35°C)","Botanical garden","No food on-site","Casual wear","Local buses, trains, cabs","https://images.app.goo.gl/gRJ1zKjwFCzu6QcB6"

"Byculla, Mumbai","Byculla Railway Station","Varies (typically 25-35°C)","Railway station","Local eateries nearby","Casual wear","Local trains, buses, cabs","https://images.app.goo.gl/BwTXs6qRfvUhPea47"
