"source_address","destination_address","temperature","weather","food","clothes","transportation",imglink
"Charni Road, Mumbai","Girgaon Chowpatty","Varies (typically 25-35°C)","Coastal area","Beachside stalls","Casual beachwear","Local trains, cabs","https://images.app.goo.gl/BwwBFLAwWcHf3kK88"
"Charni Road, Mumbai","Marine Drive","Varies (typically 25-35°C)","Coastal promenade","Various eateries","Casual wear","Local trains, cabs","https://www.google.com/imgres?imgurl=https%3A%2F%2Ft4.ftcdn.net%2Fjpg%2F04%2F66%2F46%2F53%2F360_F_466465310_vvtvS6xZHedN2gxqT9FAzPbFovbShWDx.jpg&tbnid=dchqVNv2vZt48M&vet=1&imgrefurl=https%3A%2F%2Fstock.adobe.com%2Fsearch%3Fk%3Dmarine%2Bdrive%2Bmumbai&docid=laawXqjM6JhkrM&w=510&h=360&source=sh%2Fx%2Fim%2Fm1%2F2&kgs=6060045e55f2d60a"
"Charni Road, Mumbai","Chowpatty Beach","Varies (typically 25-35°C)","Coastal area","Beachside stalls","Casual beachwear","Local trains, cabs","https://images.app.goo.gl/BwwBFLAwWcHf3kK88"
"Charni Road, Mumbai","Wankhede Stadium","Varies (typically 25-35°C)","Cricket stadium","Stadium food options","Casual wear","Local trains, cabs","https://images.app.goo.gl/Z4i5DzpE2J1fDdVG6"
"Charni Road, Mumbai","Mani Bhavan Gandhi Museum","Varies (typically 25-35°C)","Museum","Nearby cafes","Casual wear","Local trains, cabs","
https://images.app.goo.gl/Gk3snooXPKaMKhDy7"
"Charni Road, Mumbai","Khotachiwadi Heritage Village","Varies (typically 25-35°C)","Heritage village","Local snacks","Casual wear","Local trains, cabs","https://images.app.goo.gl/vT6TDZnfbPYLjEJeA"
"Charni Road, Mumbai","Banganga Tank","Varies (typically 25-35°C)","Historic water tank","Local eateries","Casual wear","Local trains, cabs","https://images.app.goo.gl/iRfXNHYznWoiYJKMA"
"Charni Road, Mumbai","Crawford Market","Varies (typically 25-35°C)","Marketplace","Street food stalls","Casual wear","Local trains, cabs"," 
https://images.app.goo.gl/pPkmitbqLyPksfzM8"
"Charni Road, Mumbai","Bhuleshwar Market","Varies (typically 25-35°C)","Market area","Local snacks","Casual wear","Local trains, cabs","https://images.app.goo.gl/C9raR3cbobLNkpjf6"
"Charni Road, Mumbai","St. Xavier's College","Varies (typically 25-35°C)","Educational institution","Cafeteria on campus","Casual wear","Local trains, cabs","https://images.app.goo.gl/91caTXfcfg33qenx6"
