"source_address","destination_address","temperature","weather","food","clothes","transportation",imglink
"Churchgate, Mumbai","Gateway of India","Varies (typically 25-35°C)","Coastal climate","Local eateries nearby","Casual wear","Local buses, cabs","https://images.app.goo.gl/a2Cum31JZHmrJwvXA"
"Churchgate, Mumbai","Marine Drive","Varies (typically 25-35°C)","Coastal boulevard","Local street food stalls","Casual wear","Local buses, cabs","https://images.app.goo.gl/UNtGjrVrkpHAqCMw9"
"Churchgate, Mumbai","Colaba Causeway","Varies (typically 25-35°C)","Shopping street","Street food stalls","Casual wear","Local buses, cabs","https://images.app.goo.gl/kTwMBHuJTVarPHBA8"
"Churchgate, Mumbai","Elephanta Caves","Varies (typically 25-35°C)","Ancient cave complex","Local snacks","Comfortable walking attire","Ferries, cabs","https://images.app.goo.gl/oHbXdBgoXDbRE4oY8"
"Churchgate, Mumbai","Crawford Market","Varies (typically 25-35°C)","Marketplace","Street food stalls","Casual wear","Local buses, cabs","
https://images.app.goo.gl/qFHhCZHE44HA9uuF7" 
"Churchgate, Mumbai","Asiatic Society Library","Varies (typically 25-35°C)","Historical library","No food on-site","Casual wear","Local buses, cabs","https://www.google.com/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Ff%2Ff9%2FMumbai_03-2016_70_Asiatic_Society_Library.jpg&imgrefurl=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FAsiatic_Society_of_Mumbai_Town_Hall&docid=wIfHstDpjgNY3M&tbnid=1GZaGZlV2MjO4M&vet=1&source=sh%2Fx%2Fim%2Flite%2Fm1%2F2"
"Churchgate, Mumbai","Chhatrapati Shivaji Maharaj Terminus","Varies (typically 25-35°C)","Historical railway station","Cafeteria inside","Casual wear","Local trains, buses, cabs","https://images.app.goo.gl/6cvmsCjnctA3PHVv6"
"Churchgate, Mumbai","Hanging Gardens","Varies (typically 25-35°C)","Terraced gardens","Local snack vendors","Casual wear","Local buses, cabs","https://images.app.goo.gl/YpAbzu3bhUfmjT9r9"
"Churchgate, Mumbai","Kala Ghoda Art Precinct","Varies (typically 25-35°C)","Art district","Cafes and galleries","Casual wear","Local buses, cabs","https://images.app.goo.gl/K3vv7zUrjJsHBzj59"
"Churchgate, Mumbai","Prince of Wales Museum","Varies (typically 25-35°C)","Museum","No food on-site","Casual wear","Local buses, cabs","https://images.app.goo.gl/fzD6Y9JBiXgdR9LD8"
"Churchgate, Mumbai","Wankhede Stadium","Varies (typically 25-35°C)","Cricket stadium","Stadium food","Casual wear","Local buses, cabs","https://images.app.goo.gl/qtH4PKDx3864k6mC9"
"Churchgate, Mumbai","Flora Fountain","Varies (typically 25-35°C)","Historical fountain","Street food stalls","Casual wear","Local buses, cabs","https://images.app.goo.gl/CTtHSzsR6cvEBCFz5"
"Churchgate, Mumbai","Rajabai Clock Tower","Varies (typically 25-35°C)","Historical clock tower","No food on-site","Casual wear","Local buses, cabs","https://images.app.goo.gl/nvoxq53aSfDM7sRo6"
"Churchgate, Mumbai","National Gallery of Modern Art","Varies (typically 25-35°C)","Art gallery","No food on-site","Casual wear","Local buses, cabs","https://images.app.goo.gl/d81ofu7zRgSmwuSR7"
"Churchgate, Mumbai","Mumbai High Court","Varies (typically 25-35°C)","Historical courthouse","No food on-site","Formal attire","Local buses, cabs","https://images.app.goo.gl/tiQeMuocA9TThWdj8"
"Churchgate, Mumbai","Oval Maidan","Varies (typically 25-35°C)","Open sports ground","Local snack vendors","Casual wear","Local buses, cabs","https://images.app.goo.gl/mbhLo5hamLJwwjCp6"
"Churchgate, Mumbai","Charni Road Beach","Varies (typically 25-35°C)","Coastal area","Beachside stalls","Casual beachwear","Local buses, cabs","https://images.app.goo.gl/pvfsJvZSqwfBWhS76"
"Churchgate, Mumbai","Jijamata Udyaan (Rani Baug)","Varies (typically 25-35°C)","Zoological park","Snack stands inside the zoo","Casual wear","Local buses, cabs","https://images.app.goo.gl/VbU3n1zPtsQauh9Z8"
