"source_address","destination_address","temperature","weather","food","clothes","transportation",imglink
"Grant Road, Mumbai","Chowpatty Beach","Varies (typically 25-35°C)","Coastal area","Beachside stalls","Casual beachwear","Local trains, cabs","https://images.app.goo.gl/BwwBFLAwWcHf3kK88"
"Grant Road, Mumbai","Hanging Gardens","Varies (typically 25-35°C)","Terraced garden","Nearby cafes","Casual wear","Local trains, cabs","https://images.app.goo.gl/Rxp7XxYz8ccuy5Ad6"
"Grant Road, Mumbai","Taraporewala Aquarium","Varies (typically 25-35°C)","Aquarium","Cafeteria inside","Casual wear","Local trains, cabs","
https://images.app.goo.gl/HrCpvEF3mZWFWF1q9"
"Grant Road, Mumbai","Chor Bazaar","Varies (typically 25-35°C)","Flea market","Street food stalls","Casual wear","Local trains, cabs","https://images.app.goo.gl/YanVeAqrKgsDkvvRA"
"Grant Road, Mumbai","Kamala Nehru Park","Varies (typically 25-35°C)","Public park","Local snacks","Casual wear","Local trains, cabs","https://images.app.goo.gl/uGMdUX3S9yL39f9u9"
"Grant Road, Mumbai","Dhobi Ghat","Varies (typically 25-35°C)","Laundry area","Local eateries","Casual wear","Local trains, cabs","https://images.app.goo.gl/QpP84ECoz4dSMY7e6"
"Grant Road, Mumbai","Royal Opera House","Varies (typically 25-35°C)","Historic venue","Nearby cafes","Casual wear","Local trains, cabs","
https://images.app.goo.gl/NF7KRenVQWE34FN48"
"Grant Road, Mumbai","Mumbai Central Station","Varies (typically 25-35°C)","Railway station","Food stalls","Casual wear","Local trains, cabs","
https://images.app.goo.gl/AeWsHBjHbLUGUwvE7"
"Grant Road, Mumbai","Kamathipura","Varies (typically 25-35°C)","Red-light district","Local eateries","Casual wear","Local trains, cabs","https://images.app.goo.gl/5nVGWCnRG4oabrFi9"
"Grant Road, Mumbai","August Kranti Maidan","Varies (typically 25-35°C)","Historic ground","Street food vendors","Casual wear","Local trains, cabs","https://images.app.goo.gl/97tvteZYbkNQrJkw8"
"Grant Road, Mumbai","Cafe New York","Varies (typically 25-35°C)","Historic cafe","International cuisine","Casual wear","Local trains, cabs","https://images.app.goo.gl/oAjac896ytv9BY747"
"Grant Road, Mumbai","Sassoon Dock","Varies (typically 25-35°C)","Fishing dock","Seafood stalls","Casual wear","Local trains, cabs","https://images.app.goo.gl/eTJE71Ybo8V8nsjG6"
"Grant Road, Mumbai","Babulnath Temple","Varies (typically 25-35°C)","Hindu temple","Prasad stalls","Modest attire","Local trains, cabs","https://images.app.goo.gl/xxCoJS4aQa4Jiso37"
"Grant Road, Mumbai","Knesset Eliyahoo Synagogue","Varies (typically 25-35°C)","Synagogue","Nearby cafes","Casual wear","Local trains, cabs"," 
https://images.app.goo.gl/uW6ze24VwzVofwzb8"
"Grant Road, Mumbai","Gowalia Tank","Varies (typically 25-35°C)","Historic tank","Local snacks","Casual wear","Local trains, cabs","https://images.app.goo.gl/ex2r4goQWC4tZoAF6"
"Grant Road, Mumbai","Nana Chowk","Varies (typically 25-35°C)","Market area","Local eateries","Casual wear","Local trains, cabs","https://images.app.goo.gl/LHyn5Ujf3kAk5zpR8"
"Grant Road, Mumbai","Mumbai Planetarium","Varies (typically 25-35°C)","Planetarium","Snack counters","Casual wear","Local trains, cabs","https://images.app.goo.gl/wfEAjSh2oLbKmWh8A"
"Grant Road, Mumbai","Mumbai City Museum","Varies (typically 25-35°C)","Museum","Cafeteria on-site","Casual wear","Local trains, cabs","https://images.app.goo.gl/VcDH2BK93yEjgx9AA"
"Grant Road, Mumbai","Kemps Corner","Varies (typically 25-35°C)","Shopping area","Diverse dining options","Casual wear","Local trains, cabs","https://images.app.goo.gl/uwX1vd9jLf4KSHeD6"
"Grant Road, Mumbai","Warden Road","Varies (typically 25-35°C)","Commercial area","Local eateries","Casual wear","Local trains, cabs","https://images.app.goo.gl/vis1vPyGXbbTS96KA"
